ID,Calories_Burned
TEST_0000,18399.775
TEST_0001,18787.408
TEST_0002,14010.892
TEST_0003,17829.963
TEST_0004,20872.973
TEST_0005,18787.666
TEST_0006,15991.873
TEST_0007,13609.315
TEST_0008,15340.118
TEST_0009,13807.251
TEST_0010,16963.602
TEST_0011,12752.464
TEST_0012,11631.303
TEST_0013,18695.54
TEST_0014,19575.498
TEST_0015,11645.291
TEST_0016,15799.994
TEST_0017,17264.53
TEST_0018,17991.46
TEST_0019,10904.481
TEST_0020,13806.668
TEST_0021,15448.854
TEST_0022,12310.741
TEST_0023,15913.641
TEST_0024,12272.518
TEST_0025,17642.943
TEST_0026,16484.27
TEST_0027,19126.5
TEST_0028,16984.469
TEST_0029,15617.302
TEST_0030,12834.437
TEST_0031,20039.01
TEST_0032,14020.849
TEST_0033,13513.662
TEST_0034,17316.973
TEST_0035,16472.484
TEST_0036,13054.5
TEST_0037,16953.367
TEST_0038,11964.349
TEST_0039,16402.89
TEST_0040,19170.617
TEST_0041,18042.89
TEST_0042,17453.377
TEST_0043,13808.125
TEST_0044,14166.537
TEST_0045,14081.935
TEST_0046,15067.169
TEST_0047,19995.209
TEST_0048,17152.332
TEST_0049,16989.979
TEST_0050,11995.498
TEST_0051,15829.172
TEST_0052,17844.443
TEST_0053,15703.213
TEST_0054,13506.594
TEST_0055,16280.758
TEST_0056,18039.398
TEST_0057,12274.062
TEST_0058,12603.964
TEST_0059,16377.083
TEST_0060,13393.651
TEST_0061,15850.334
TEST_0062,14849.172
TEST_0063,13563.317
TEST_0064,12979.871
TEST_0065,17581.32
TEST_0066,19977.924
TEST_0067,16626.629
TEST_0068,15901.044
TEST_0069,12575.528
TEST_0070,16832.508
TEST_0071,12590.781
TEST_0072,11448.076
TEST_0073,17488.67
TEST_0074,13006.26
TEST_0075,15558.153
TEST_0076,14266.535
TEST_0077,14479.926
TEST_0078,13626.333
TEST_0079,18513.896
TEST_0080,18418.145
TEST_0081,17474.457
TEST_0082,15453.555
TEST_0083,15995.7295
TEST_0084,13950.194
TEST_0085,18686.18
TEST_0086,17130.791
TEST_0087,10790.743
TEST_0088,17418.2
TEST_0089,13366.985
TEST_0090,12622.228
TEST_0091,12717.627
TEST_0092,12475.566
TEST_0093,18866.883
TEST_0094,10522.426
TEST_0095,10737.966
TEST_0096,20076.812
TEST_0097,17612.06
TEST_0098,18717.271
TEST_0099,17941.25
TEST_0100,10535.025
TEST_0101,14881.123
TEST_0102,18492.564
TEST_0103,18086.006
TEST_0104,14409.919
TEST_0105,17848.389
TEST_0106,13346.603
TEST_0107,12063.883
TEST_0108,18924.928
TEST_0109,11745.397
TEST_0110,16296.611
TEST_0111,19244.307
TEST_0112,13972.814
TEST_0113,17371.68
TEST_0114,14394.281
TEST_0115,15194.704
TEST_0116,15424.767
TEST_0117,15024.789
TEST_0118,11003.107
TEST_0119,10676.2
TEST_0120,18467.652
TEST_0121,13598.231
TEST_0122,12883.4795
TEST_0123,12435.749
TEST_0124,12157.614
TEST_0125,15686.57
TEST_0126,12910.811
TEST_0127,13654.596
TEST_0128,16214.046
TEST_0129,14522.136
TEST_0130,13641.497
TEST_0131,18883.71
TEST_0132,13924.929
TEST_0133,17097.115
TEST_0134,16000.581
TEST_0135,14848.753
TEST_0136,15061.372
TEST_0137,13762.108
TEST_0138,18113.592
TEST_0139,12756.763
TEST_0140,17218.2
TEST_0141,11355.08
TEST_0142,15840.975
TEST_0143,14147.285
TEST_0144,10566.507
TEST_0145,12927.856
TEST_0146,18488.738
TEST_0147,15555.3
TEST_0148,16862.71
TEST_0149,15417.796
TEST_0150,13281.509
TEST_0151,15375.973
TEST_0152,14995.017
TEST_0153,11314.441
TEST_0154,15728.431
TEST_0155,14132.554
TEST_0156,16907.623
TEST_0157,13314.259
TEST_0158,18904.502
TEST_0159,13350.9795
TEST_0160,17163.854
TEST_0161,15008.032
TEST_0162,15484.4795
TEST_0163,17259.215
TEST_0164,14078.6
TEST_0165,11855.016
TEST_0166,13424.596
TEST_0167,17235.162
TEST_0168,20174.416
TEST_0169,16218.948
TEST_0170,14181.678
TEST_0171,14915.922
TEST_0172,9791.54
TEST_0173,15817.167
TEST_0174,11379.602
TEST_0175,13432.929
TEST_0176,10192.354
TEST_0177,14354.578
TEST_0178,18133.29
TEST_0179,18817.56
TEST_0180,13824.314
TEST_0181,15252.507
TEST_0182,14615.791
TEST_0183,16842.25
TEST_0184,16207.324
TEST_0185,14569.502
TEST_0186,11368.631
TEST_0187,13556.81
TEST_0188,17740.25
TEST_0189,11228.137
TEST_0190,12729.18
TEST_0191,10651.01
TEST_0192,18900.895
TEST_0193,13506.8955
TEST_0194,18844.893
TEST_0195,16007.589
TEST_0196,10596.859
TEST_0197,19074.541
TEST_0198,10555.905
TEST_0199,11275.207
TEST_0200,12011.734
TEST_0201,16993.36
TEST_0202,12443.953
TEST_0203,13643.626
TEST_0204,16045.817
TEST_0205,15690.823
TEST_0206,17703.21
TEST_0207,15363.737
TEST_0208,11009.411
TEST_0209,14770.169
TEST_0210,14786.357
TEST_0211,19197.855
TEST_0212,18348.818
TEST_0213,12340.525
TEST_0214,13686.673
TEST_0215,14542.694
TEST_0216,15680.471
TEST_0217,17891.357
TEST_0218,13365.027
TEST_0219,14802.001
TEST_0220,18436.484
TEST_0221,14039.819
TEST_0222,17233.836
TEST_0223,18512.467
TEST_0224,15065.614
TEST_0225,12753.645
TEST_0226,14444.861
TEST_0227,16960.477
TEST_0228,13506.817
TEST_0229,10463.292
TEST_0230,14096.049
TEST_0231,13738.118
TEST_0232,14544.962
TEST_0233,14366.407
TEST_0234,12346.446
TEST_0235,13008.518
TEST_0236,17408.125
TEST_0237,11851.56
TEST_0238,17574.666
TEST_0239,12360.191
TEST_0240,12485.527
TEST_0241,20071.443
TEST_0242,15050.865
TEST_0243,11140.464
TEST_0244,13559.303
TEST_0245,14760.205
TEST_0246,14378.421
TEST_0247,16438.912
TEST_0248,13656.545
TEST_0249,11739.77
TEST_0250,14087.568
TEST_0251,15525.081
TEST_0252,12981.355
TEST_0253,15769.177
TEST_0254,16259.3955
TEST_0255,13696.833
TEST_0256,11524.711
TEST_0257,15992.377
TEST_0258,17707.48
TEST_0259,11455.287
TEST_0260,12049.907
TEST_0261,14493.345
TEST_0262,13011.896
TEST_0263,11693.926
TEST_0264,11555.063
TEST_0265,9307.148
TEST_0266,14489.345
TEST_0267,11911.927
TEST_0268,14546.709
TEST_0269,18619.85
TEST_0270,15650.992
TEST_0271,16523.156
TEST_0272,12418.224
TEST_0273,17340.984
TEST_0274,11298.421
TEST_0275,13482.409
TEST_0276,14385.707
TEST_0277,18055.531
TEST_0278,11236.44
TEST_0279,14293.741
TEST_0280,18461.65
TEST_0281,15641.784
TEST_0282,12407.821
TEST_0283,11637.451
TEST_0284,18394.121
TEST_0285,12936.941
TEST_0286,12947.673
TEST_0287,13858.925
TEST_0288,16089.338
TEST_0289,12665.024
TEST_0290,18318.223
TEST_0291,14336.98
TEST_0292,14120.72
TEST_0293,13410.341
TEST_0294,17234.412
TEST_0295,13006.087
TEST_0296,14959.804
TEST_0297,16836.186
TEST_0298,17488.533
TEST_0299,19384.334
TEST_0300,19584.354
TEST_0301,11220.726
TEST_0302,19537.508
TEST_0303,15462.585
TEST_0304,14520.044
TEST_0305,17750.025
TEST_0306,13986.686
TEST_0307,19629.266
TEST_0308,18785.729
TEST_0309,17370.309
TEST_0310,15869.49
TEST_0311,12224.109
TEST_0312,17973.893
TEST_0313,15203.591
TEST_0314,18640.732
TEST_0315,18455.594
TEST_0316,20148.752
TEST_0317,18116.066
TEST_0318,14865.694
TEST_0319,20057.178
TEST_0320,19748.621
TEST_0321,15243.072
TEST_0322,18107.287
TEST_0323,14720.242
TEST_0324,13404.016
TEST_0325,12047.376
TEST_0326,15750.3125
TEST_0327,15365.984
TEST_0328,14804.735
TEST_0329,14658.634
TEST_0330,11186.072
TEST_0331,16965.344
TEST_0332,12482.455
TEST_0333,15391.297
TEST_0334,13102.053
TEST_0335,15837.667
TEST_0336,16657.05
TEST_0337,17653.553
TEST_0338,15789.56
TEST_0339,16161.909
TEST_0340,12168.947
TEST_0341,19427.94
TEST_0342,14765.943
TEST_0343,16922.926
TEST_0344,15740.872
TEST_0345,11464.645
TEST_0346,12335.672
TEST_0347,14628.09
TEST_0348,12854.688
TEST_0349,18119.021
TEST_0350,19323.48
TEST_0351,13806.526
TEST_0352,16741.953
TEST_0353,14199.336
TEST_0354,14438.436
TEST_0355,10342.762
TEST_0356,17785.396
TEST_0357,18469.37
TEST_0358,16471.188
TEST_0359,17138.52
TEST_0360,14831.5205
TEST_0361,16779.996
TEST_0362,17140.604
TEST_0363,12338.031
TEST_0364,18112.768
TEST_0365,12249.216
TEST_0366,16664.992
TEST_0367,12363.353
TEST_0368,19338.678
TEST_0369,17012.396
TEST_0370,11238.567
TEST_0371,16426.27
TEST_0372,14742.613
TEST_0373,17054.215
TEST_0374,11593.142
TEST_0375,19118.379
TEST_0376,19725.486
TEST_0377,19222.008
TEST_0378,13021.486
TEST_0379,14513.096
TEST_0380,17941.24
TEST_0381,12644.374
TEST_0382,12214.702
TEST_0383,19565.145
TEST_0384,11315.011
TEST_0385,11069.412
TEST_0386,19280.732
TEST_0387,15738.96
TEST_0388,16629.168
TEST_0389,18282.955
TEST_0390,18607.154
TEST_0391,12453.598
TEST_0392,16258.833
TEST_0393,17077.164
TEST_0394,12626.883
TEST_0395,18128.7
TEST_0396,15751.58
TEST_0397,12566.8125
TEST_0398,16511.639
TEST_0399,17022.842
TEST_0400,15174.649
TEST_0401,18725.902
TEST_0402,17422.117
TEST_0403,17518.537
TEST_0404,16429.277
TEST_0405,15669.523
TEST_0406,11108.996
TEST_0407,14787.822
TEST_0408,18110.445
TEST_0409,19519.93
TEST_0410,16505.412
TEST_0411,20044.105
TEST_0412,11479.82
TEST_0413,14072.997
TEST_0414,17931.709
TEST_0415,11250.47
TEST_0416,13807.644
TEST_0417,14886.557
TEST_0418,11615.581
TEST_0419,10333.025
TEST_0420,17798.705
TEST_0421,12680.161
TEST_0422,15136.972
TEST_0423,15620.552
TEST_0424,16991.334
TEST_0425,13279.894
TEST_0426,13397.471
TEST_0427,10456.727
TEST_0428,15036.373
TEST_0429,15698.367
TEST_0430,16372.695
TEST_0431,20026.227
TEST_0432,13958.79
TEST_0433,10328.026
TEST_0434,18414.445
TEST_0435,13333.369
TEST_0436,13923.109
TEST_0437,18988.414
TEST_0438,14013.543
TEST_0439,18275.586
TEST_0440,20366.764
TEST_0441,12916.122
TEST_0442,13785.3125
TEST_0443,14977.185
TEST_0444,20157.57
TEST_0445,16937.434
TEST_0446,17837.033
TEST_0447,13565.021
TEST_0448,15747.063
TEST_0449,12954.8955
TEST_0450,15651.992
TEST_0451,17441.975
TEST_0452,15674.726
TEST_0453,14153.862
TEST_0454,13806.551
TEST_0455,13570.694
TEST_0456,16681.195
TEST_0457,17068.135
TEST_0458,18396.926
TEST_0459,17277.73
TEST_0460,15160.448
TEST_0461,19292.24
TEST_0462,14837.512
TEST_0463,16072.705
TEST_0464,15656.735
TEST_0465,12679.354
TEST_0466,15386.361
TEST_0467,12815.818
TEST_0468,16794.393
TEST_0469,9740.851
TEST_0470,14921.792
TEST_0471,12342.175
TEST_0472,14232.207
TEST_0473,12372.178
TEST_0474,18141.004
TEST_0475,18401.225
TEST_0476,12515.947
TEST_0477,12033.032
TEST_0478,12318.194
TEST_0479,13053.192
TEST_0480,13975.774
TEST_0481,12535.054
TEST_0482,18751.4
TEST_0483,16605.004
TEST_0484,14506.817
TEST_0485,10404.385
TEST_0486,10290.061
TEST_0487,20727.525
TEST_0488,12076.023
TEST_0489,11996.928
TEST_0490,19474.887
TEST_0491,15465.329
TEST_0492,14431.851
TEST_0493,13584.119
TEST_0494,15169.332
TEST_0495,13018.771
TEST_0496,12606.155
TEST_0497,12890.606
TEST_0498,16892.758
TEST_0499,16766.24
TEST_0500,11983.993
TEST_0501,15713.962
TEST_0502,18221.494
TEST_0503,12471.171
TEST_0504,15875.034
TEST_0505,11997.419
TEST_0506,17798.418
TEST_0507,14388.579
TEST_0508,18750.736
TEST_0509,16687.176
TEST_0510,14895.558
TEST_0511,15256.987
TEST_0512,13626.892
TEST_0513,15049.435
TEST_0514,14581.684
TEST_0515,17236.232
TEST_0516,18122.443
TEST_0517,11461.087
TEST_0518,18554.06
TEST_0519,12027.754
TEST_0520,14860.293
TEST_0521,15698.685
TEST_0522,19153.588
TEST_0523,16520.549
TEST_0524,15097.843
TEST_0525,14320.434
TEST_0526,16708.836
TEST_0527,11013.059
TEST_0528,18496.326
TEST_0529,19019.031
TEST_0530,13893.25
TEST_0531,16301.599
TEST_0532,12401.785
TEST_0533,17511.615
TEST_0534,16136.18
TEST_0535,16333.085
TEST_0536,11102.62
TEST_0537,16832.643
TEST_0538,14789.292
TEST_0539,13669.34
TEST_0540,16845.291
TEST_0541,11431.37
TEST_0542,17056.5
TEST_0543,15907.756
TEST_0544,13910.376
TEST_0545,15398.682
TEST_0546,11137.915
TEST_0547,15283.415
TEST_0548,19261.701
TEST_0549,12191.069
TEST_0550,13827.568
TEST_0551,17139.3
TEST_0552,17046.62
TEST_0553,15828.185
TEST_0554,14486.613
TEST_0555,12413.944
TEST_0556,16879.295
TEST_0557,15617.102
TEST_0558,19192.521
TEST_0559,12832.692
TEST_0560,11172.338
TEST_0561,12476.607
TEST_0562,19078.17
TEST_0563,15670.018
TEST_0564,14380.652
TEST_0565,17562.863
TEST_0566,13842.815
TEST_0567,17042.266
TEST_0568,11301.966
TEST_0569,12935.647
TEST_0570,12210.838
TEST_0571,12945.107
TEST_0572,12407.905
TEST_0573,18510.535
TEST_0574,13596.326
TEST_0575,12016.038
TEST_0576,11771.795
TEST_0577,14058.9
TEST_0578,13228.796
TEST_0579,18696.521
TEST_0580,14829.134
TEST_0581,20146.4
TEST_0582,15652.038
TEST_0583,12311.274
TEST_0584,15156.868
TEST_0585,13298.012
TEST_0586,16489.338
TEST_0587,17776.492
TEST_0588,17790.6
TEST_0589,12150.615
TEST_0590,17764.283
TEST_0591,19944.639
TEST_0592,12486.081
TEST_0593,19234.92
TEST_0594,14160.832
TEST_0595,11579.032
TEST_0596,11540.7705
TEST_0597,17699.441
TEST_0598,17111.184
TEST_0599,14457.412
TEST_0600,18875.883
TEST_0601,14510.807
TEST_0602,20014.525
TEST_0603,18194.7
TEST_0604,17722.686
TEST_0605,15118.527
TEST_0606,16766.904
TEST_0607,12286.209
TEST_0608,16323.025
TEST_0609,16371.108
TEST_0610,14635.998
TEST_0611,16641.67
TEST_0612,16880.79
TEST_0613,12900.104
TEST_0614,11652.466
TEST_0615,12658.477
TEST_0616,14772.288
TEST_0617,19090.385
TEST_0618,12652.276
TEST_0619,17186.914
TEST_0620,19154.723
TEST_0621,10803.973
TEST_0622,12943.301
TEST_0623,11221.63
TEST_0624,14785.056
TEST_0625,14252.371
TEST_0626,15388.344
TEST_0627,20160.521
TEST_0628,14719.028
TEST_0629,15149.989
TEST_0630,11648.433
TEST_0631,13341.876
TEST_0632,19366.969
TEST_0633,15121.606
TEST_0634,12636.596
TEST_0635,13209.731
TEST_0636,18218.709
TEST_0637,16444.98
TEST_0638,13829.995
TEST_0639,17974.078
TEST_0640,11302.197
TEST_0641,14531.392
TEST_0642,15438.522
TEST_0643,12163.141
TEST_0644,10869.8955
TEST_0645,18934.81
TEST_0646,14526.349
TEST_0647,14813.188
TEST_0648,11879.54
TEST_0649,15374.913
TEST_0650,15594.244
TEST_0651,17894.469
TEST_0652,15227.759
TEST_0653,10871.402
TEST_0654,10062.127
TEST_0655,10204.536
TEST_0656,16615.29
TEST_0657,14845.713
TEST_0658,11672.065
TEST_0659,12199.403
TEST_0660,12141.048
TEST_0661,14411.156
TEST_0662,15829.195
TEST_0663,11463.758
TEST_0664,14757.637
TEST_0665,14696.355
TEST_0666,17718.535
TEST_0667,18469.793
TEST_0668,14205.693
TEST_0669,19992.242
TEST_0670,17159.582
TEST_0671,12637.172
TEST_0672,15997.324
TEST_0673,15749.255
TEST_0674,14962.558
TEST_0675,18956.781
TEST_0676,11571.731
TEST_0677,16549.307
TEST_0678,14647.876
TEST_0679,16222.683
TEST_0680,9824.578
TEST_0681,16214.018
TEST_0682,17818.2
TEST_0683,12749.442
TEST_0684,11380.233
TEST_0685,12213.966
TEST_0686,18523.906
TEST_0687,14682.168
TEST_0688,15028.579
TEST_0689,15220.773
TEST_0690,20660.436
TEST_0691,12064.192
TEST_0692,19590.557
TEST_0693,19210.195
TEST_0694,16647.818
TEST_0695,13330.743
TEST_0696,16528.77
TEST_0697,14736.254
TEST_0698,14713.103
TEST_0699,15929.998
TEST_0700,17082.402
TEST_0701,14496.531
TEST_0702,13810.127
TEST_0703,19474.174
TEST_0704,14281.381
TEST_0705,12598.623
TEST_0706,16276.704
TEST_0707,12568.825
TEST_0708,10276.9375
TEST_0709,14313.619
TEST_0710,14499.916
TEST_0711,10650.656
TEST_0712,12984.413
TEST_0713,10762.686
TEST_0714,17905.525
TEST_0715,17053.125
TEST_0716,10783.071
TEST_0717,10067.627
TEST_0718,16999.232
TEST_0719,14158.974
TEST_0720,16295.146
TEST_0721,15204.385
TEST_0722,17122.127
TEST_0723,14175.797
TEST_0724,17088.01
TEST_0725,16657.213
TEST_0726,12325.429
TEST_0727,13840.94
TEST_0728,18300.178
TEST_0729,15915.58
TEST_0730,19252.805
TEST_0731,16001.372
TEST_0732,11563.252
TEST_0733,18992.059
TEST_0734,14939.087
TEST_0735,14674.474
TEST_0736,13486.048
TEST_0737,12923.404
TEST_0738,17363.19
TEST_0739,19761.656
TEST_0740,16996.719
TEST_0741,12327.467
TEST_0742,14439.108
TEST_0743,14655.859
TEST_0744,13449.685
