ID,Calories_Burned
TEST_0000,156.97919
TEST_0001,177.37602
TEST_0002,50.85432
TEST_0003,151.96722
TEST_0004,205.01422
TEST_0005,164.2053
TEST_0006,94.66479
TEST_0007,44.464756
TEST_0008,78.22565
TEST_0009,54.566956
TEST_0010,117.484825
TEST_0011,49.11332
TEST_0012,13.256471
TEST_0013,164.21115
TEST_0014,215.28976
TEST_0015,14.761159
TEST_0016,92.21374
TEST_0017,123.731224
TEST_0018,145.47597
TEST_0019,8.008163
TEST_0020,49.72471
TEST_0021,84.07161
TEST_0022,26.051064
TEST_0023,82.60113
TEST_0024,20.20601
TEST_0025,116.59012
TEST_0026,100.98847
TEST_0027,172.33144
TEST_0028,113.29718
TEST_0029,92.66911
TEST_0030,21.616005
TEST_0031,229.68663
TEST_0032,53.885235
TEST_0033,44.529564
TEST_0034,124.79802
TEST_0035,105.525536
TEST_0036,33.810513
TEST_0037,122.39504
TEST_0038,9.660138
TEST_0039,118.92288
TEST_0040,188.74622
TEST_0041,153.13586
TEST_0042,134.96951
TEST_0043,56.555042
TEST_0044,61.016186
TEST_0045,52.33889
TEST_0046,76.02307
TEST_0047,182.12016
TEST_0048,133.55383
TEST_0049,119.3999
TEST_0050,11.2639885
TEST_0051,103.3663
TEST_0052,150.11113
TEST_0053,89.2857
TEST_0054,64.50602
TEST_0055,83.970566
TEST_0056,152.98479
TEST_0057,19.700403
TEST_0058,30.6329
TEST_0059,91.76897
TEST_0060,38.333138
TEST_0061,98.875786
TEST_0062,84.52727
TEST_0063,44.701084
TEST_0064,33.469055
TEST_0065,125.50022
TEST_0066,216.75014
TEST_0067,118.57687
TEST_0068,91.5686
TEST_0069,42.273228
TEST_0070,118.34116
TEST_0071,24.354568
TEST_0072,9.274044
TEST_0073,145.71655
TEST_0074,33.521816
TEST_0075,86.3983
TEST_0076,60.126137
TEST_0077,62.851086
TEST_0078,41.933495
TEST_0079,177.24423
TEST_0080,156.78833
TEST_0081,127.6081
TEST_0082,88.88665
TEST_0083,99.07098
TEST_0084,58.22524
TEST_0085,163.08963
TEST_0086,117.48108
TEST_0087,19.133192
TEST_0088,137.49472
TEST_0089,41.49624
TEST_0090,39.13034
TEST_0091,33.44462
TEST_0092,22.29714
TEST_0093,183.68422
TEST_0094,5.4193544
TEST_0095,11.129414
TEST_0096,225.94055
TEST_0097,132.81671
TEST_0098,176.29121
TEST_0099,160.04202
TEST_0100,12.443574
TEST_0101,92.712234
TEST_0102,178.43726
TEST_0103,156.21562
TEST_0104,62.385433
TEST_0105,152.4725
TEST_0106,37.28215
TEST_0107,22.536407
TEST_0108,177.62119
TEST_0109,29.577557
TEST_0110,105.37163
TEST_0111,169.11845
TEST_0112,44.16258
TEST_0113,138.67113
TEST_0114,52.35303
TEST_0115,76.04879
TEST_0116,75.95391
TEST_0117,59.601604
TEST_0118,11.75062
TEST_0119,2.8924742
TEST_0120,174.06819
TEST_0121,46.55326
TEST_0122,36.953938
TEST_0123,20.953804
TEST_0124,27.732916
TEST_0125,94.42519
TEST_0126,46.103546
TEST_0127,51.79374
TEST_0128,98.419334
TEST_0129,72.28181
TEST_0130,55.612476
TEST_0131,181.17542
TEST_0132,63.95211
TEST_0133,127.99622
TEST_0134,98.98967
TEST_0135,68.531624
TEST_0136,68.93354
TEST_0137,61.319656
TEST_0138,166.3863
TEST_0139,22.22808
TEST_0140,119.37069
TEST_0141,12.084331
TEST_0142,104.07482
TEST_0143,41.27184
TEST_0144,9.543434
TEST_0145,30.262083
TEST_0146,152.82063
TEST_0147,77.300835
TEST_0148,110.9184
TEST_0149,81.2283
TEST_0150,39.167755
TEST_0151,78.99831
TEST_0152,65.99004
TEST_0153,19.778454
TEST_0154,91.24357
TEST_0155,54.63656
TEST_0156,122.39342
TEST_0157,40.052666
TEST_0158,181.9186
TEST_0159,37.989273
TEST_0160,119.69624
TEST_0161,94.29984
TEST_0162,104.48604
TEST_0163,133.39561
TEST_0164,54.291626
TEST_0165,28.948969
TEST_0166,38.9713
TEST_0167,126.8229
TEST_0168,185.00319
TEST_0169,105.86542
TEST_0170,70.806465
TEST_0171,72.930244
TEST_0172,3.549712
TEST_0173,81.43388
TEST_0174,15.920136
TEST_0175,45.01174
TEST_0176,9.852896
TEST_0177,59.02079
TEST_0178,160.32303
TEST_0179,169.99821
TEST_0180,43.664165
TEST_0181,81.03134
TEST_0182,66.92556
TEST_0183,109.995285
TEST_0184,118.4595
TEST_0185,79.63963
TEST_0186,10.277657
TEST_0187,47.433174
TEST_0188,148.57942
TEST_0189,6.3898277
TEST_0190,38.55033
TEST_0191,6.060115
TEST_0192,147.19128
TEST_0193,38.167393
TEST_0194,160.46065
TEST_0195,98.21267
TEST_0196,6.1539273
TEST_0197,200.61337
TEST_0198,5.146569
TEST_0199,10.082341
TEST_0200,9.523503
TEST_0201,125.55683
TEST_0202,21.169159
TEST_0203,35.077892
TEST_0204,92.79225
TEST_0205,85.37987
TEST_0206,144.42111
TEST_0207,80.51719
TEST_0208,14.886372
TEST_0209,63.642525
TEST_0210,61.018654
TEST_0211,180.32005
TEST_0212,150.36621
TEST_0213,17.150211
TEST_0214,48.034218
TEST_0215,57.93714
TEST_0216,83.978485
TEST_0217,131.03262
TEST_0218,40.050613
TEST_0219,89.6167
TEST_0220,164.72209
TEST_0221,62.038574
TEST_0222,130.65086
TEST_0223,179.16426
TEST_0224,72.44307
TEST_0225,31.13327
TEST_0226,64.65539
TEST_0227,129.41017
TEST_0228,55.493862
TEST_0229,5.12267
TEST_0230,57.50684
TEST_0231,49.152485
TEST_0232,64.92684
TEST_0233,75.39766
TEST_0234,12.983072
TEST_0235,45.680016
TEST_0236,121.70445
TEST_0237,17.71556
TEST_0238,140.23245
TEST_0239,20.113594
TEST_0240,19.680613
TEST_0241,177.44518
TEST_0242,84.19638
TEST_0243,10.413816
TEST_0244,41.076233
TEST_0245,68.38686
TEST_0246,41.21316
TEST_0247,111.067726
TEST_0248,42.515415
